Source reference,Soil name,Site label,Depth (cm),Horizon,Field/lab,Sample Height (cm),Sample diameter (cm),Method,Ksat,Units,Bulk density,Very coarse,Coarse,Medium,Fine,Very fine,Sand (%),Silt  (%),Clay (%),Coarse fragments (%),Textural class,Organic carbon,Organic matter,Units,Stdev_Bulk density,Stdev_Sand (%),Stdev_Silt  (%),Stdev_Clay (%),Stdev_Coarse_fragments (%),Textural class,Stdev_Organic carbon,Other potentally relevant info,,
3,Fuquay,"Agricultural, Tift Co",156-177,BC,lab,7.5,7.6,constant head,0.42,cm/hr,1.79,0.7,6.8,23.1,24.4,11,66,7.7,26.3,,,0.14,,,,,,,,,,,,
3,Fuquay,"Agricultural, Tift Co",177-214+,C,lab,7.5,7.6,constant head,0.34,cm/hr,1.74,1.2,11,31.4,23.6,8.3,75.5,3.9,20.6,,,0.12,,,,,,,,,,,,
3,Tifton,"Forested, Turner Co",0-10,Ac,lab,7.5,7.6,constant head,23.67,cm/hr,1.25,2.3,4.8,23.6,38.5,10.2,79.4,11.1,9.5,,,1.2,,,,,,,,,,,,
3,Tifton,"Forested, Turner Co",31-Oct,None, ,7.5,7.6,constant head,None,cm/hr,1.66,2.1,5.2,24.5,41.3,10.1,83.2,10.7,6.1,,,0.66,,,,,,,,,,,,
4,Tifton,"Forested, Turner Co",31-38,Ec,lab,7.5,7.6,constant head,7.92,cm/hr,None,1.7,4.8,24.7,38.9,9.6,79.7,12.2,8.1,,,0.43,,,,,,,,,,,,
3,Tifton,"Forested, Turner Co",38-69,Btc,lab,7.5,7.6,constant head,1.77,cm/hr,1.71,0.7,3.9,18.9,26.5,5.9,55.9,9.2,34.9,,,0.37,,,,,,,,,,,,
3,Tifton,"Forested, Turner Co",69-88,Bt,lab,7.5,7.6,constant head,1.78,cm/hr,1.61,0.7,3.6,18.5,23.8,5,51.6,8.6,39.8,,,0.23,,,,,,,,,,,,
3,Tifton,"Forested, Turner Co",88-111,Btv,lab,7.5,7.6,constant head,0.13,cm/hr,1.74,1,3.6,19,24.4,5.9,53.9,9.2,36.9,,,0.26,,,,,,,,,,,,
3,Tifton,"Forested, Turner Co",111-148,B't,lab,7.5,7.6,constant head,0.04,cm/hr,1.85,1.2,5.3,22.7,24.5,5.4,59.1,9.4,31.5,,,0.1,,,,,,,,,,,,
3,Tifton,"Forested, Turner Co",148-178,BC,lab,7.5,7.6,constant head,0.17,cm/hr,1.88,2.2,7.2,25.6,22.6,3.9,61.5,5.4,33.1,,,0.12,,,,,,,,,,,,
